Scale/Root,Intervals,C Blues (Minor),C Blues (Major),C Dorian,C Harmonic Major,C Harmonic Minor,C Hungarian Minor,C In-sen (Japanese),C Locrian,C Lydian,C Major,C Major Pentatonic,C Melodic Minor,C Minor,C Minor Pentatonic,C Mixolydian,C Persian,C Phrygian,C Phrygian Dominant (Maqam Hijaz),C# Blues (Minor),C# Blues (Major),C# Dorian,C# Harmonic Major,C# Harmonic Minor,C# Hungarian Minor,C# In-sen (Japanese),C# Locrian,C# Lydian,C# Major,C# Major Pentatonic,C# Melodic Minor,C# Minor,C# Minor Pentatonic,C# Mixolydian,C# Persian,C# Phrygian,C# Phrygian Dominant (Maqam Hijaz),D Blues (Minor),D Blues (Major),D Dorian,D Harmonic Major,D Harmonic Minor,D Hungarian Minor,D In-sen (Japanese),D Locrian,D Lydian,D Major,D Major Pentatonic,D Melodic Minor,D Minor,D Minor Pentatonic,D Mixolydian,D Persian,D Phrygian,D Phrygian Dominant (Maqam Hijaz),D# Blues (Minor),D# Blues (Major),D# Dorian,D# Harmonic Major,D# Harmonic Minor,D# Hungarian Minor,D# In-sen (Japanese),D# Locrian,D# Lydian,D# Major,D# Major Pentatonic,D# Melodic Minor,D# Minor,D# Minor Pentatonic,D# Mixolydian,D# Persian,D# Phrygian,D# Phrygian Dominant (Maqam Hijaz),E Blues (Minor),E Blues (Major),E Dorian,E Harmonic Major,E Harmonic Minor,E Hungarian Minor,E In-sen (Japanese),E Locrian,E Lydian,E Major,E Major Pentatonic,E Melodic Minor,E Minor,E Minor Pentatonic,E Mixolydian,E Persian,E Phrygian,E Phrygian Dominant (Maqam Hijaz),F Blues (Minor),F Blues (Major),F Dorian,F Harmonic Major,F Harmonic Minor,F Hungarian Minor,F In-sen (Japanese),F Locrian,F Lydian,F Major,F Major Pentatonic,F Melodic Minor,F Minor,F Minor Pentatonic,F Mixolydian,F Persian,F Phrygian,F Phrygian Dominant (Maqam Hijaz),F# Blues (Minor),F# Blues (Major),F# Dorian,F# Harmonic Major,F# Harmonic Minor,F# Hungarian Minor,F# In-sen (Japanese),F# Locrian,F# Lydian,F# Major,F# Major Pentatonic,F# Melodic Minor,F# Minor,F# Minor Pentatonic,F# Mixolydian,F# Persian,F# Phrygian,F# Phrygian Dominant (Maqam Hijaz),G Blues (Minor),G Blues (Major),G Dorian,G Harmonic Major,G Harmonic Minor,G Hungarian Minor,G In-sen (Japanese),G Locrian,G Lydian,G Major,G Major Pentatonic,G Melodic Minor,G Minor,G Minor Pentatonic,G Mixolydian,G Persian,G Phrygian,G Phrygian Dominant (Maqam Hijaz),G# Blues (Minor),G# Blues (Major),G# Dorian,G# Harmonic Major,G# Harmonic Minor,G# Hungarian Minor,G# In-sen (Japanese),G# Locrian,G# Lydian,G# Major,G# Major Pentatonic,G# Melodic Minor,G# Minor,G# Minor Pentatonic,G# Mixolydian,G# Persian,G# Phrygian,G# Phrygian Dominant (Maqam Hijaz),A Blues (Minor),A Blues (Major),A Dorian,A Harmonic Major,A Harmonic Minor,A Hungarian Minor,A In-sen (Japanese),A Locrian,A Lydian,A Major,A Major Pentatonic,A Melodic Minor,A Minor,A Minor Pentatonic,A Mixolydian,A Persian,A Phrygian,A Phrygian Dominant (Maqam Hijaz),A# Blues (Minor),A# Blues (Major),A# Dorian,A# Harmonic Major,A# Harmonic Minor,A# Hungarian Minor,A# In-sen (Japanese),A# Locrian,A# Lydian,A# Major,A# Major Pentatonic,A# Melodic Minor,A# Minor,A# Minor Pentatonic,A# Mixolydian,A# Persian,A# Phrygian,A# Phrygian Dominant (Maqam Hijaz),B Blues (Minor),B Blues (Major),B Dorian,B Harmonic Major,B Harmonic Minor,B Hungarian Minor,B In-sen (Japanese),B Locrian,B Lydian,B Major,B Major Pentatonic,B Melodic Minor,B Minor,B Minor Pentatonic,B Mixolydian,B Persian,B Phrygian,B Phrygian Dominant (Maqam Hijaz)
C Blues (Minor),"0,3,5,6,7,10",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Blues (Major),"0,2,3,4,7,9",,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Dorian,"0,2,3,5,7,9,10",,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,
C Harmonic Major,"0,2,4,5,7,8,11",,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Harmonic Minor,"0,2,3,5,7,8,11",,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Hungarian Minor,"0,2,3,6,7,8,11",,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C In-sen (Japanese),"0,1,5,7,10",,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C Locrian,"0,1,3,5,6,8,10",,,,,,,,-,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,
C Lydian,"0,2,4,6,7,9,11",,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,
C Major,"0,2,4,5,7,9,11",,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
